"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"104","Abric Romaní","Level A Macromammal Fauna","Sequence I","42300","300","U series (uranium-thorium) dating"
"106","Abric Romaní","Level A Macromammal Fauna","Sequence I","42500","200","U series (uranium-thorium) dating"
"108","Abric Romaní","Level A Macromammal Fauna","Sequence I","42600","300","U series (uranium-thorium) dating"
"110","Abric Romaní","Level A Macromammal Fauna","Sequence I","42600","400","U series (uranium-thorium) dating"
"112","Abric Romaní","Level A Macromammal Fauna","Sequence I","42700","200","U series (uranium-thorium) dating"
"114","Abric Romaní","Level A Macromammal Fauna","Sequence I","43000","800","U series (uranium-thorium) dating"
"116","Abric Romaní","Level A Macromammal Fauna","Sequence I","43100","1200","U series (uranium-thorium) dating"
"118","Abric Romaní","Level A Macromammal Fauna","Sequence I","44400","300","U series (uranium-thorium) dating"
"120","Abric Romaní","Level A Macromammal Fauna","Sequence I","45700","1300","U series (uranium-thorium) dating"
"122","Abric Romaní","Level A Macromammal Fauna","Sequence I","45900","1300","U series (uranium-thorium) dating"
"124","Abric Romaní","Level A Macromammal Fauna","Sequence I","47100","300","U series (uranium-thorium) dating"
"126","Abric Romaní","Level A Macromammal Fauna","Sequence I","52300","400","U series (uranium-thorium) dating"
"128","Abric Romaní","Level A Macromammal Fauna","Sequence I","56800","800","U series (uranium-thorium) dating"
"130","Abric Romaní","Level A Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"132","Abric Romaní","Level A Macromammal Fauna","Sequence I","44600","1500","U series (uranium-thorium) dating"
"134","Abric Romaní","Level A Macromammal Fauna","Sequence I","44200","1500","U series (uranium-thorium) dating"
"136","Abric Romaní","Level A Macromammal Fauna","Sequence I","43400","1000000","U series (uranium-thorium) dating"
"138","Abric Romaní","Level A Macromammal Fauna","Sequence I","44400","1000000","U series (uranium-thorium) dating"
"140","Abric Romaní","Level A Macromammal Fauna","Sequence I","45600","1000000","U series (uranium-thorium) dating"
"142","Abric Romaní","Level A Macromammal Fauna","Sequence I","40680","940","14C (radiocarbon) dating"
"144","Abric Romaní","Level A Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"145","Abric Romaní","Level B Macromammal Fauna","Sequence I","36740","920","14C (radiocarbon) dating"
"147","Abric Romaní","Level B Macromammal Fauna","Sequence I","37290","990","14C (radiocarbon) dating"
"149","Abric Romaní","Level B Macromammal Fauna","Sequence I","35400","810","14C (radiocarbon) dating"
"151","Abric Romaní","Level B Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"153","Abric Romaní","Level B Macromammal Fauna","Sequence I","28440","650","14C (radiocarbon) dating"
"155","Abric Romaní","Level B Macromammal Fauna","Sequence I","23160","490","14C (radiocarbon) dating"
"157","Abric Romaní","Level B Macromammal Fauna","Sequence I","36950","460","14C (radiocarbon) dating"
"159","Abric Romaní","Level B Macromammal Fauna","Sequence I","20680","110","14C (radiocarbon) dating"
"161","Abric Romaní","Level B Macromammal Fauna","Sequence I","20190","75","14C (radiocarbon) dating"
"163","Abric Romaní","Level B Macromammal Fauna","Sequence I","21155","80","14C (radiocarbon) dating"
"165","Abric Romaní","Level B Macromammal Fauna","Sequence I","20295","75","14C (radiocarbon) dating"
"167","Abric Romaní","Level B Macromammal Fauna","Sequence I","35900","600","14C (radiocarbon) dating"
"169","Abric Romaní","Level B Macromammal Fauna","Sequence I","36490","230","14C (radiocarbon) dating"
"171","Abric Romaní","Level B Macromammal Fauna","Sequence I","25010","120","14C (radiocarbon) dating"
"173","Abric Romaní","Level B Macromammal Fauna","Sequence I","36300","1300","14C (radiocarbon) dating"
"175","Abric Romaní","Level B Macromammal Fauna","Sequence I","35000","500","14C (radiocarbon) dating"
"177","Abric Romaní","Level B Macromammal Fauna","Sequence I","42900","1600","U series (uranium-thorium) dating"
"179","Abric Romaní","Level B Macromammal Fauna","Sequence I","39400","1500","U series (uranium-thorium) dating"
"181","Abric Romaní","Level B Macromammal Fauna","Sequence I","43800","1500","U series (uranium-thorium) dating"
"183","Abric Romaní","Level B Macromammal Fauna","Sequence I","39100","1500","U series (uranium-thorium) dating"
"185","Abric Romaní","Level B Macromammal Fauna","Sequence I","40800","1300","U series (uranium-thorium) dating"
"187","Abric Romaní","Level B Macromammal Fauna","Sequence I","45100","1000","U series (uranium-thorium) dating"
"189","Abric Romaní","Level B Macromammal Fauna","Sequence I","45500","1300","U series (uranium-thorium) dating"
"191","Abric Romaní","Level B Macromammal Fauna","Sequence I","48600","400","U series (uranium-thorium) dating"
"193","Abric Romaní","Level B Macromammal Fauna","Sequence I","46100","1300","U series (uranium-thorium) dating"
"195","Abric Romaní","Level B Macromammal Fauna","Sequence I","42600","1100","U series (uranium-thorium) dating"
"197","Abric Romaní","Level B Macromammal Fauna","Sequence I","41500","2000","U series (uranium-thorium) dating"
"199","Abric Romaní","Level B Macromammal Fauna","Sequence I","35400","800","14C (radiocarbon) dating"
"201","Abric Romaní","Level B Macromammal Fauna","Sequence I","37200","900","14C (radiocarbon) dating"
"203","Abric Romaní","Level B Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"205","Abric Romaní","Level B Macromammal Fauna","Sequence I","40700","600","U series (uranium-thorium) dating"
"207","Abric Romaní","Level B Macromammal Fauna","Sequence I","41000","300","U series (uranium-thorium) dating"
"209","Abric Romaní","Level B Macromammal Fauna","Sequence I","41300","300","U series (uranium-thorium) dating"
"211","Abric Romaní","Level B Macromammal Fauna","Sequence I","41300","400","U series (uranium-thorium) dating"
"213","Abric Romaní","Level B Macromammal Fauna","Sequence I","42100","300","U series (uranium-thorium) dating"
"215","Abric Romaní","Level B Macromammal Fauna","Sequence I","42300","300","U series (uranium-thorium) dating"
"217","Abric Romaní","Level B Macromammal Fauna","Sequence I","42500","200","U series (uranium-thorium) dating"
"219","Abric Romaní","Level B Macromammal Fauna","Sequence I","42600","300","U series (uranium-thorium) dating"
"221","Abric Romaní","Level B Macromammal Fauna","Sequence I","42600","400","U series (uranium-thorium) dating"
"223","Abric Romaní","Level B Macromammal Fauna","Sequence I","42700","200","U series (uranium-thorium) dating"
"225","Abric Romaní","Level B Macromammal Fauna","Sequence I","43000","800","U series (uranium-thorium) dating"
"227","Abric Romaní","Level B Macromammal Fauna","Sequence I","43100","1200","U series (uranium-thorium) dating"
"229","Abric Romaní","Level B Macromammal Fauna","Sequence I","44400","300","U series (uranium-thorium) dating"
