Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,,,,,,,,,,,,
,,,,OxA,OxA-689,26600,800,800,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-690,26600,800,800,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 7 fauna,Level 7,GrN,GrN-3105,29300,450,450,14C (radiocarbon) dating,bone,2011,-
,,,,,,,,,,,,
,,,,GrN,GrN-3116,32900,700,700,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-3117,32800,450,450,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4531,31800,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21583,32400,450,450,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21584,32400,450,450,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21680,32850,500,500,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-2276-20,32150,450,450,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 8 fauna,Level 8,GrN,GrN-6163,31800,280,280,14C (radiocarbon) dating,bone,2011,-
,,,,,,,,,,,,
,,,,OxA,OxA-21582,31300,400,400,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-2276-19,33050,500,500,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 9 fauna,Level 9,OxA,OxA-21673,33400,500,500,14C (radiocarbon) dating,bone,2011,-
,Abri Pataud,Abri Pataud Level 10 fauna,Level 10,OxA,OxA-21679,33650,500,500,14C (radiocarbon) dating,bone,2011,-
,Abri Pataud,Abri Pataud Level 11 fauna,Level 11,GrN,GrN-4309,32600,550,550,14C (radiocarbon) dating,bone,2011,-
,,,,,,,,,,,,
,,,,GrN,GrN-4326,32000,800,800,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21580,33550,550,550,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21581,33550,550,550,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21601,34150,550,550,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21602,33500,500,500,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 12 fauna,Level 12,GrN,GrN-4310,31000,500,500,14C (radiocarbon) dating,bone,2011,-
,,,,,,,,,,,,
,,,,GrN,GrN-4327,33000,500,500,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4719,33260,425,425,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21670,33450,500,500,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21671,34300,600,600,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21672,34050,550,550,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 13 fauna,Level 13,OxA,OxA-21598,34750,600,600,14C (radiocarbon) dating,bone,2011,-
,,,,,,,,,,,,
,,,,OxA,OxA-21599,34850,600,600,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21600,34200,550,550,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 14 fauna,Level 14,GrN,GrN-4507,34250,675,675,14C (radiocarbon) dating,bone,1967,-
,,,,,,,,,,,,
,,,,GrN,GrN-4610,33300,760,760,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4720,33330,410,410,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21578,35750,700,700,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21579,35000,600,600,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21596,34500,600,600,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-21597,35000,650,650,14C (radiocarbon) dating,bone,,-
