Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 184,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 184,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 184,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 184,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 4 human remains 185,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 186,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 187,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 3 human remains 188,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 3 human remains 189,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 190,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 191,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 192,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 7 human remains 193,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 7 human remains 194,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 5 human remains 195,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 4 human remains 196,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 4 human remains 197,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 4 human remains 198,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 199,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c5,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c6,-,-,130000,3000,3000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,167000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,131000,1000,1000,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91186A,223000,4000,4000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,,,,,,,,,,,,
,,,,-,93042A,415000,55000,55000,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c7,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c8,-,-,99000,5000,5000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,132000,5000,5000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,69700,500,500,U series (uranium-thorium) dating,tooth,,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,91183A,89800,1400,1400,U series (uranium-thorium) dating,tooth,,material_dated: dentine
,Krapina,Krapina Layer 1-9 human remains 200,Complex II Unit c9,-,-,87000,7000,7000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,113000,10000,10000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 201,Complex II Unit c1,-,-,133000,15000,15000,ESR (electron spin resonance) dating,tooth,1995,material_dated: tooth enamel
,,,,,,,,,,,,
,,,,-,-,180000,15000,15000,ESR (electron spin resonance) dating,tooth,,material_dated: tooth enamel
,Krapina,Krapina Layer 1-9 human remains 201,Complex II Unit c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 201,Complex II Unit c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 201,Complex II Unit c4,-,-,-,-,-,-,-,-,-
