Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Combe-Capelle Bas;France;Europe;Western Europe;rock shelter;0.85;44.753;Combe-Capelle Bas Level I-1D1 Archaeological Assemblage;5;raw material, technology, typology;40000;350000;Level I-1;typology, technology;Middle Paleolithic;Mousterian - Eurasia;344
Combe-Capelle Bas;France;Europe;Western Europe;rock shelter;0.85;44.753;Combe-Capelle Bas Level I-1E Archaeological Assemblage;6;raw material, technology, typology;40000;350000;Level I-1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1166
Combe-Capelle Bas;France;Europe;Western Europe;rock shelter;0.85;44.753;Combe-Capelle Bas Level I-2A Archaeological Assemblage;7;raw material, technology, typology;40000;350000;Level I-2;technology, typology;Middle Paleolithic;Mousterian - Eurasia;896
Combe-Capelle Bas;France;Europe;Western Europe;rock shelter;0.85;44.753;Combe-Capelle Bas Level I-2B Archaeological Assemblage;8;raw material, technology, typology;40000;350000;Level I-2;technology, typology;Middle Paleolithic;Mousterian - Eurasia;459
Combe-Capelle Bas;France;Europe;Western Europe;rock shelter;0.85;44.753;Combe-Capelle Bas Level I-3 Archaeological Assemblage;9;raw material, technology, typology;40000;350000;Level I-3;typology, technology;Middle Paleolithic;Mousterian - Eurasia;196
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 54 Archaeological Assemblage;10;raw material, technology, typology;71000;350000;Level 54;technology, typology;Middle Paleolithic;Mousterian - Eurasia;775
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 6 Archaeological Assemblage;106;miscellaneous finds;29000;57000;Level 6;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 7 Archaeological Assemblage;107;miscellaneous finds;29000;57000;Level 7;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 18 Archaeological Assemblage;111;miscellaneous finds;57000;71000;Level 18;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 21 Archaeological Assemblage;112;miscellaneous finds;57000;71000;Level 21;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 23 Archaeological Assemblage;113;miscellaneous finds;57000;71000;Level 23;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 24 Archaeological Assemblage;114;miscellaneous finds;57000;71000;Level 24;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 25 Archaeological Assemblage;115;miscellaneous finds;57000;71000;Level 25;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 26 Archaeological Assemblage;116;miscellaneous finds;57000;71000;Level 26;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 27 Archaeological Assemblage;117;miscellaneous finds;57000;71000;Level 27;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 35 Archaeological Assemblage;118;miscellaneous finds;71000;126000;Level 35;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 17 Archaeological Assemblage;4;miscellaneous finds, raw material, technology, typology;57000;71000;Level 17;technology, miscellaneous finds, typology;Middle Paleolithic;Mousterian - Eurasia;3356
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 22 Archaeological Assemblage;5;miscellaneous finds, raw material, technology, typology;57000;71000;Level 22;typology, technology, miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;2392
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 29-30 Archaeological Assemblage;6;raw material, technology, typology;57000#57000;71000#71000;Level 29#Level 30;technology, typology;Middle Paleolithic;Mousterian - Eurasia;4070
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 38 Archaeological Assemblage;7;raw material, technology, typology;71000;350000;Level 38;technology, typology;Middle Paleolithic;Mousterian - Eurasia;770
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 50A Archaeological Assemblage;8;raw material, technology, typology;71000;350000;Level 50;technology, typology;Middle Paleolithic;Mousterian - Eurasia;540
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 52 Archaeological Assemblage;9;raw material, technology, typology;71000;350000;Level 52;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1964
Cotencher;Switzerland;Europe;Central Europe;cave;6.899;46.96;Cotencher Cave Mousterian finds;1;technology, typology;41000#41000#41000#41000#41000#41000#41000#41000#41000#41000#41000;62000#62000#62000#62000#62000#62000#62000#62000#62000#62000#62000;Gravelly layer#Layer 12a#Layer 12b#Layer 12c#Layer Va#Layer Vb#Layer Vc#Layer Vd#Layer Ve#Layer Vf#Layer Vg;typology, technology;Middle Paleolithic;Mousterian - Eurasia;477
Cova Negra;Spain;Europe;Southern Europe;cave;-0.533;38.982;Cova Negra Nivel I Assemblage;31;raw material, technology, typology;0;174000;Cova Negra Level 1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;500
Cova Negra;Spain;Europe;Southern Europe;cave;-0.533;38.982;Cova Negra Nivel II Assemblage;32;raw material, technology, typology;0;174000;Cova Negra Level 2;technology, typology;Middle Paleolithic;Mousterian - Eurasia;107
Cova Negra;Spain;Europe;Southern Europe;cave;-0.533;38.982;Cova Negra Nivel I Assemblage Surface;45;raw material, technology, typology;0;174000;Cova Negra Level 1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;834
Cova del Gegant;Spain;Europe;Southern Europe;cave;1.774;41.224;Cova del Gegant Episode 3a Archaeological Assemblage;1;raw material, technology, typology;47500;51100;Episode 3a;technology, typology;Middle Paleolithic;Mousterian - Eurasia;41
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel H Assemblage;17;organic tools, raw material, technology, typology;42500;87857;Nivel H;typology, technology, organic tools;Middle Paleolithic;Mousterian - Eurasia;848
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel I Assemblage;18;organic tools, raw material, technology, typology;42500;87857;Nivel I;organic tools, typology, technology;Middle Paleolithic;Mousterian - Eurasia;12318
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel J Assemblage;19;feature, organic tools, raw material, technology, typology;45000;95857;Nivel J;organic tools, typology, feature, technology;Middle Paleolithic;Mousterian - Eurasia;17272
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel K Assemblage;20;organic tools, raw material, technology, typology;45000;95857;Nivel K;technology, typology, organic tools;Middle Paleolithic;Mousterian - Eurasia;7751
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel M Assemblage;21;raw material, technology, typology;45000;95857;Nivel M;typology, technology;Middle Paleolithic;Mousterian - Eurasia;37
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel O Assemblage;22;raw material, technology, typology;87857;101000;Nivel O;technology, typology;Middle Paleolithic;Mousterian - Eurasia;10
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel Q Assemblage;23;organic tools, raw material, technology, typology;101000;350000;Nivel Q;organic tools, technology, typology;Middle Paleolithic;Mousterian - Eurasia;179
Covalejos;Spain;Europe;Southern Europe;cave;-3.933;43.397;Nivel D Assemblage;24;organic tools;42500;43800;Nivel D;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Covolo De Nadale;Italy;Europe;Southern Europe;cave;11.3;45.26;Covolo De Nadale Unit 7 finds;1;organic tools, raw material, technology, typology;57000;71000;Unit 7;organic tools, typology, technology;Middle Paleolithic;Mousterian - Eurasia;386
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XVIII finds;1;raw material, technology, typology;78000;90000;Layer XVIII;typology, technology;Middle Paleolithic;Mousterian - Eurasia;581
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XVII finds;2;raw material, technology, typology;75000;85000;Layer XVII;technology, typology;Middle Paleolithic;Mousterian - Eurasia;14
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XVI finds;3;raw material, technology, typology;60000;75000;Layer XVI;technology, typology;Middle Paleolithic;Mousterian - Eurasia;112
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XV finds;4;raw material, technology, typology;60000;75000;Layer XV;technology, typology;Middle Paleolithic;Mousterian - Eurasia;35
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XIV finds;5;raw material, technology, typology;50000;60000;Layer XIV;technology, typology;Middle Paleolithic;Mousterian - Eurasia;352
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XIII finds;6;raw material, technology, typology;48000;50000;Layer XIII;typology, technology;Middle Paleolithic;Mousterian - Eurasia;172
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XII finds;7;raw material, technology, typology;43000;48000;Layer XII;typology, technology;Middle Paleolithic;Mousterian - Eurasia;933
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XX finds;8;feature;90000;110000;Layer XX;feature;Middle Paleolithic;Mousterian - Eurasia;-1
Crvena Stijena;Montenegro;Europe;Southern Europe;rock shelter;18.481;42.779;Crvena Stijena Layer XXIV finds;9;feature;120000;135000;Layer XXIV;feature;Middle Paleolithic;Mousterian - Eurasia;-1
Cueva Bajondillo;Spain;Europe;Southern Europe;rock shelter;-4.498;36.621;Cueva Bajondillo Unit Bj19/18 Archaeological Assemblage;1;raw material, technology, typology;58140;165800;Unit Bj18;typology, technology;Middle Paleolithic;Mousterian - Eurasia;63
Cueva Bajondillo;Spain;Europe;Southern Europe;rock shelter;-4.498;36.621;Cueva Bajondillo Unit Bj17 Archaeological Assemblage;6;raw material, typology, technology, miscellaneous finds;58140;76900;Unit Bj17;miscellaneous finds, typology, technology;Middle Paleolithic;Mousterian - Eurasia;4682
Cueva Bajondillo;Spain;Europe;Southern Europe;rock shelter;-4.498;36.621;Cueva Bajondillo Unit Bj16 Archaeological Assemblage;7;raw material, typology, technology, miscellaneous finds;34100;45700;Unit Bj16;miscellaneous finds, technology, typology;Middle Paleolithic;Mousterian - Eurasia;1593
Cueva Bajondillo;Spain;Europe;Southern Europe;rock shelter;-4.498;36.621;Cueva Bajondillo Unit Bj15 Archaeological Assemblage;8;miscellaneous finds, raw material, technology, typology;28440;43803;Unit Bj15;technology, miscellaneous finds, typology;Middle Paleolithic;Mousterian - Eurasia;5062
Cueva Bajondillo;Spain;Europe;Southern Europe;rock shelter;-4.498;36.621;Cueva Bajondillo Unit Bj14 Archaeological Assemblage;9;miscellaneous finds, raw material, technology, typology;25642;40000;Unit Bj14;technology, typology, miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;1999
Cueva Bajondillo;Spain;Europe;Southern Europe;rock shelter;-4.498;36.621;Cueva Bajondillo Unit Bj18 shells;95;miscellaneous finds;58140;165800;Unit Bj18;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-1
Cueva Des-Cubierta;Spain;Europe;Southern Europe;cave, collapsed cave;-3.808;40.923;Cueva Des-Cubierta Level 2 Assemblage;1;raw material, technology, typology;40400;47600;Cueva Des-Cubierta Level 2;technology, typology;Middle Paleolithic;Mousterian - Eurasia;734
Cueva Des-Cubierta;Spain;Europe;Southern Europe;cave, collapsed cave;-3.808;40.923;Cueva Des-Cubierta Level 3 Assemblage;2;feature, miscellaneous finds, raw material, technology, typology;47600;71000;Cueva Des-Cubierta Level 3;technology, feature, miscellaneous finds, typology;Middle Paleolithic;Mousterian - Eurasia;1421
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 18 Assemblage;10;raw material, technology, typology;57000;71000;Cueva Morín Level 18;typology, technology;Middle Paleolithic;Mousterian - Eurasia;3370
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 13/14 Assemblage;12;miscellaneous finds, raw material, technology, typology;41270#41270;71000#71000;Cueva Morín Level 13#Cueva Morín Level 14;technology, typology, miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;1677
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 15 Assemblage;13;miscellaneous finds, raw material, technology, typology;41270;71000;Cueva Morín Level 15;miscellaneous finds, typology, technology;Middle Paleolithic;Mousterian - Eurasia;893
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 11 Assemblage;5;feature, miscellaneous finds, raw material, technology, typology;41270;44200;Cueva Morín Level 11;feature, technology, typology, miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;1673
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 12 Assemblage;6;miscellaneous finds, raw material, technology, typology;41270;71000;Cueva Morín Level 12;miscellaneous finds, typology, technology;Middle Paleolithic;Mousterian - Eurasia;1859
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 17 Assemblage;7;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;57000;71000;Cueva Morín Level 17;typology, organic tools, miscellaneous finds, technology, feature;Middle Paleolithic;Mousterian - Eurasia;2416
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 16 Assemblage;9;miscellaneous finds, raw material, technology, typology;57000;71000;Cueva Morín Level 16;typology, technology, miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;1913
Cueva de El Pendo;Spain;Europe;Southern Europe;cave;-3.912;43.389;El Pendo Level IX Assemblage;12;raw material, technology, typology;33800;51900;El Pendo Level IX;typology, technology;Middle Paleolithic;Mousterian - Eurasia;69
Cueva de El Pendo;Spain;Europe;Southern Europe;cave;-3.912;43.389;El Pendo Level X Assemblage;13;feature, raw material, technology, typology;33800;51900;El Pendo Level X;feature, technology, typology;Middle Paleolithic;Mousterian - Eurasia;46
Cueva de El Pendo;Spain;Europe;Southern Europe;cave;-3.912;43.389;El Pendo Level XIII Assemblage;15;miscellaneous finds, raw material, technology, typology;33800;51900;El Pendo Level XIII;typology, miscellaneous finds, technology;Middle Paleolithic;Mousterian - Eurasia;184
Cueva de El Pendo;Spain;Europe;Southern Europe;cave;-3.912;43.389;El Pendo Level XIV Assemblage;16;feature, miscellaneous finds, organic tools, raw material, technology, typology;51900;53800;El Pendo Level XIV;organic tools, miscellaneous finds, feature, typology, technology;Middle Paleolithic;Mousterian - Eurasia;339
Cueva de El Pendo;Spain;Europe;Southern Europe;cave;-3.912;43.389;El Pendo Level XV Assemblage;17;raw material, technology, typology;53900;58800;El Pendo Level XV;technology, typology;Middle Paleolithic;Mousterian - Eurasia;3
Cueva de la Buena Pinta;Spain;Europe;Southern Europe;cave;-3.808;40.923;Buena Pinta Level 5 Assemblage;4;miscellaneous finds, raw material;57942;68960;Buena Pinta Level 5;miscellaneous finds;Middle Paleolithic;Mousterian - Eurasia;-
Cueva de los Aviones;Spain;Europe;Southern Europe;cave;-0.986;37.585;Level I Assemblage;1;miscellaneous finds, raw material, technology, typology;87400;135000;Complex LS 03;typology, miscellaneous finds, technology;Middle Paleolithic;Mousterian - Eurasia;329
Cueva de los Aviones;Spain;Europe;Southern Europe;cave;-0.986;37.585;Level II Assemblage;2;miscellaneous finds, raw material, symbolic artifacts, technology, typology;87400#87400;135000#135000;Complex LS 04#Complex LS 05;symbolic artifacts, miscellaneous finds, typology, technology;Middle Paleolithic;Mousterian - Eurasia;410
Cueva de los Aviones;Spain;Europe;Southern Europe;cave;-0.986;37.585;Level III Assemblage;3;miscellaneous finds, raw material, technology, typology;87400;135000;Complex LS 05;typology, miscellaneous finds, technology;Middle Paleolithic;Mousterian - Eurasia;683
Cueva de los Aviones;Spain;Europe;Southern Europe;cave;-0.986;37.585;Level IV Assemblage;4;raw material, technology, typology;87400;135000;Complex LS 06;typology, technology;Middle Paleolithic;Mousterian - Eurasia;373
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 6-20 finds;2;feature;48000#48000#58000#58000#60000#60000#65000#78000#78000#78000#78000#78000#78000#85000#85000#100000;52000#55000#65000#65000#70000#70000#75000#85000#85000#85000#85000#85000#85000#100000#100000#110000;Layer 6#Layer 7#Layer 8#Layer 9#Layer 11#Layer 12#Layer 10#Layer 13#Layer 14#Layer 15#Layer 16#Layer 17#Layer 17a#Layer 18#Layer 19#Layer 20;feature;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 6 finds;3;organic tools;48000;52000;Layer 6;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 7 finds;4;organic tools;48000;55000;Layer 7;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 8 finds;5;organic tools, symbolic artifacts;58000;65000;Layer 8;symbolic artifacts, organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 10 finds;6;organic tools;65000;75000;Layer 10;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 13-14 finds;7;organic tools;78000#78000;85000#85000;Layer 13#Layer 14;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 16 finds;8;organic tools;78000;85000;Layer 16;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Divje babe I;Slovenia;Europe;Central Europe;cave;13.546;46.064;Divje babe I Layer 20 finds;9;organic tools;100000;110000;Layer 20;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Djruchula Cave;Georgia;Asia;Caucasus;cave;43.346;42.342;Djruchula Cave Niveau I Upper Archaeological Assemblage;1;raw material, technology, typology;123000#123000#123000#123000#123000#123000;153000#153000#153000#153000#153000#153000;Layer II#Layer III#Layer IV#Layer V#Layer VI#Layer VII;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1260
El Castillo;Spain;Europe;Southern Europe;cave;-3.966;43.292;El Castillo Unit 20e Archaeological Assemblage;17;raw material, typology, technology;36300;46200;Unit 20;typology, technology;Middle Paleolithic;Mousterian - Eurasia;940
El Castillo;Spain;Europe;Southern Europe;cave;-3.966;43.292;El Castillo Exc. 1910-14 Unit 20 Archaeological Assemblage;7;raw material, typology, technology, feature;36300;46200;Unit 20;typology, feature, technology;Middle Paleolithic;Mousterian - Eurasia;1264
El Castillo;Spain;Europe;Southern Europe;cave;-3.966;43.292;El Castillo Exc. 1910-14 Unit 21 Archaeological Assemblage;8;raw material, typology, technology;59800;78400;Unit 21;technology, typology;Middle Paleolithic;Mousterian - Eurasia;25
El Castillo;Spain;Europe;Southern Europe;cave;-3.966;43.292;El Castillo Exc. 1910-14 Unit 22 Archaeological Assemblage;9;raw material, typology, technology, feature, miscellaneous finds;60700;80000;Unit 22;typology, technology, miscellaneous finds, feature;Middle Paleolithic;Mousterian - Eurasia;1017
Erd;Hungary;Europe;Central Europe;open air;18.873;47.399;Upper Layer assemblage;6;feature, organic tools, raw material, symbolic artifacts, technology, typology;34400;42900;Layer A;feature, organic tools, technology, typology, symbolic artifacts;Middle Paleolithic;Mousterian - Eurasia;1871
Erd;Hungary;Europe;Central Europe;open air;18.873;47.399;Lower Layer assemblage;7;raw material, technology, typology;34400;42900;Layer A;typology, technology;Middle Paleolithic;Mousterian - Eurasia;39
Ex-Casino;Italy;Europe;Southern Europe;open air;7.533;43.784;ex-Casino Balzi Rossi Layer 5 Ensemble II Archaeological Assemblage;1;raw material, typology, technology;57000;116000;Unit 5;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1273
Ex-Casino;Italy;Europe;Southern Europe;open air;7.533;43.784;ex-Casino Balzi Rossi Layer 6 Ensemble I Archaeolgical Assemblage;2;raw material, typology, technology, organic tools;116000;126000;Unit 6;typology, technology, organic tools;Middle Paleolithic;Mousterian - Eurasia;382
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR6 lithics;10;technology, typology;44800;48000;Unit BR6;typology, technology;Middle Paleolithic;Mousterian - Eurasia;246
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR7 lithics;11;technology, typology;44800;48000;Unit BR7;technology, typology;Middle Paleolithic;Mousterian - Eurasia;462
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR8 lithics;12;technology, typology;44800;48000;Unit BR8;typology, technology;Middle Paleolithic;Mousterian - Eurasia;255
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR9 lithics;13;technology, typology;44800;48000;Unit BR9;technology, typology;Middle Paleolithic;Mousterian - Eurasia;156
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR10 lithics;14;technology, typology;44800;48000;Unit BR10;technology, typology;Middle Paleolithic;Mousterian - Eurasia;238
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR11 lithics;15;technology, typology;48000;62000;Unit BR11;typology, technology;Middle Paleolithic;Mousterian - Eurasia;1435
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR12 lithics;16;technology, typology;49000;65000;Unit BR12;typology, technology;Middle Paleolithic;Mousterian - Eurasia;746
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S2 lithics;17;technology, typology;65000;68000;Unit S2;technology, typology;Middle Paleolithic;Mousterian - Eurasia;101
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S3 lithics;18;technology, typology;65000;68000;Unit S3;technology, typology;Middle Paleolithic;Mousterian - Eurasia;172
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S4 lithics;19;technology, typology;65000;68000;Unit S4;technology, typology;Middle Paleolithic;Mousterian - Eurasia;66
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S5 lithics;20;technology, typology;65000;68000;Unit S5;technology, typology;Middle Paleolithic;Mousterian - Eurasia;43
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S6 lithics;21;technology, typology;65000;68000;Unit S6;typology, technology;Middle Paleolithic;Mousterian - Eurasia;59
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S7 lithics;22;technology, typology;68000;90000;Unit S7;technology, typology;Middle Paleolithic;Mousterian - Eurasia;62
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S8 lithics;23;technology, typology;68000;90000;Unit S8;technology, typology;Middle Paleolithic;Mousterian - Eurasia;33
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit S9 lithics;24;technology, typology;68000;90000;Unit S9;technology, typology;Middle Paleolithic;Mousterian - Eurasia;41
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit A5-A6 finds;3;feature, organic tools, symbolic artifacts, technology, typology;43600;44800;Unit A5-A6;feature, symbolic artifacts, typology, organic tools, technology;Middle Paleolithic;Mousterian - Eurasia;2246
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit A9 finds;4;miscellaneous finds, symbolic artifacts, technology, typology;44800;48000;Unit A9;miscellaneous finds, technology, symbolic artifacts, typology;Middle Paleolithic;Mousterian - Eurasia;2825
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit A10 lithics;5;technology, typology;44800;48000;Unit A10;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1590
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit A11 lithics;6;technology, typology;44800;48000;Unit A11;technology, typology;Middle Paleolithic;Mousterian - Eurasia;4801
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR1 lithics;7;technology, typology;44800;48000;Unit BR1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;85
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR3 lithics;8;technology, typology;44800;48000;Unit BR3;technology, typology;Middle Paleolithic;Mousterian - Eurasia;51
Fumane;Italy;Europe;Southern Europe;cave;10.905;45.592;Fumane Unit BR4-BR5 lithics;9;technology, typology;44800#44800;48000#48000;Unit BR4#Unit BR5;technology, typology;Middle Paleolithic;Mousterian - Eurasia;178
Gatzarria;France;Europe;Western Europe;cave;-0.92;43.135;Gatzarria Cr Archaeological Assemblage;10;raw material, typology, technology;47400;116000;Cr;typology, technology;Middle Paleolithic;Mousterian - Eurasia;5
Gatzarria;France;Europe;Western Europe;cave;-0.92;43.135;Gatzarria Cj Archaeological Assemblage;7;raw material, typology, technology;33250;46200;Cj;typology, technology;Middle Paleolithic;Mousterian - Eurasia;494
Gatzarria;France;Europe;Western Europe;cave;-0.92;43.135;Gatzarria Cjr/Cjgr Archaeological Assemblage;8;raw material, typology, technology;47400;70000;Cjr;typology, technology;Middle Paleolithic;Mousterian - Eurasia;3636
Gatzarria;France;Europe;Western Europe;cave;-0.92;43.135;Gatzarria Cjr base Archaeological Assemblage;9;raw material, typology, technology;47400;70000;Cjr;technology, typology;Middle Paleolithic;Mousterian - Eurasia;161
Geißenklösterle;Germany;Europe;Central Europe;rock shelter;9.771;48.398;Geißenklösterle AH IV Mousterian assemblage;48;raw material, technology, typology;49000#49000;73000#73000;GH 18a#GH 18b;typology, technology;Middle Paleolithic;Mousterian - Eurasia;40
Geißenklösterle;Germany;Europe;Central Europe;rock shelter;9.771;48.398;Geißenklösterle AH V Mousterian assemblage;49;raw material, technology, typology;49000;104000;GH 19;technology, typology;Middle Paleolithic;Mousterian - Eurasia;64
Geißenklösterle;Germany;Europe;Central Europe;rock shelter;9.771;48.398;Geißenklösterle AH VI Mousterian assemblage;50;raw material, technology, typology;49000;104000;GH 20;typology, technology;Middle Paleolithic;Mousterian - Eurasia;238
Geißenklösterle;Germany;Europe;Central Europe;rock shelter;9.771;48.398;Geißenklösterle AH VII Mousterian assemblage;51;raw material, technology, typology;64000;104000;GH 21;technology, typology;Middle Paleolithic;Mousterian - Eurasia;477
Geißenklösterle;Germany;Europe;Central Europe;rock shelter;9.771;48.398;Geißenklösterle AH VIII Mousterian assemblage;52;raw material, technology, typology;64000#64000;104000#104000;GH 22#GH 23;typology, technology;Middle Paleolithic;Mousterian - Eurasia;85
