"longitude","latitude","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","millenium"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8539133.18806504,3060181.74938419,13.3031234741211,28.5040855407715,-1.65720880031586,26.3192749023438,0.0379597023129463,152.82341003418,50.0671463012695,82.2334289550781,20.3989791870117,50000
9107900.15893857,3361293.67514077,1.30494952201843,15.4293365478516,-14.3662738800049,13.9603128433228,-13.0815200805664,403.829132080078,97.3122634887695,43.98095703125,18.2893657684326,50000
8907158.87510085,3628948.72025773,8.72690773010254,22.1006832122803,-6.32305908203125,20.539213180542,-4.48521900177002,350.656005859375,79.5356292724609,99.8297653198242,18.6036548614502,50000
8706417.59126313,3996974.40729354,4.46077442169189,19.8610343933105,-11.7622213363647,17.9329891204834,-10.3666400909424,416.896881103516,110.296325683594,118.337303161621,14,50000
8371848.78486694,3863146.88473506,6.98932886123657,26.3910846710205,-13.5220079421997,23.984582901001,-11.4440984725952,128.018615722656,42.646556854248,101.560699462891,14,50000
8371848.78486694,2692156.06234838,13.9290599822998,28.3798637390137,-0.919814229011536,26.4293003082275,0.689568281173706,162.692276000977,45.1552505493164,89.8652191162109,14,50000
3252946.04700514,1588079.00124093,13.7369937896729,21.3485660552979,9.33846473693848,20.2380924224854,9.4882345199585,398.432159423828,155.229614257812,161.466003417969,-1601674752,50000
5360729.52730118,1855734.04635789,9.60660743713379,20.2560214996338,0.73744922876358,18.6295356750488,1.48794996738434,636.132141113281,209.680160522461,469.009094238281,14.9854593276978,50000
6029867.14009357,3595491.83961811,-2.92088532447815,13.5580654144287,-22.0769233703613,12.9616765975952,-19.9451084136963,584.683776855469,90.7330703735352,391.028503417969,10,50000
8171107.50102922,3930060.6460143,4.58715724945068,25.4164505004883,-16.9888362884521,22.9042167663574,-14.7358570098877,111.890083312988,33.909107208252,68.2586059570312,18.869499206543,50000
7401599.24631797,2792526.70426724,2.64250326156616,16.3830585479736,-12.3582620620728,14.8027458190918,-10.6991453170776,566.613098144531,80.3691177368164,130.268798828125,12.5764865875244,50000
5360729.52730118,3227466.15258229,-0.374275118112564,14.239842414856,-16.3189277648926,12.9016046524048,-14.7164220809937,521.914916992188,71.6274566650391,377.060577392578,9.51609230041504,50000
5360729.52730118,3495121.19769925,-7.16100025177002,6.50616073608398,-21.3131809234619,4.99332475662231,-19.8997135162354,535.663940429688,65.7422561645508,237.667251586914,23.5722885131836,50000
8405305.66550656,2926354.22682571,7.26064300537109,22.1249237060547,-7.37535333633423,19.8748893737793,-5.56681394577026,245.371307373047,65.7622756958008,78.5634384155273,14,50000
6598634.1109671,3729319.36217658,-2.11451935768127,16.2371196746826,-22.8806896209717,14.8703231811523,-20.6107273101807,457.024475097656,74.9756774902344,353.271759033203,10,50000
3353316.688924,2825983.58490686,7.86830854415894,14.9496793746948,2.08047294616699,14.0112562179565,2.4135103225708,969.119812011719,345.893524169922,343.788513183594,9.87920951843262,50000
6632090.99160672,3428207.43642001,0.969782590866089,18.1382179260254,-18.8083152770996,16.7929840087891,-16.5674686431885,405.107208251953,79.5864334106445,301.926177978516,8.70830821990967,50000
5026160.72090498,3160552.39130305,0.93097335100174,14.1611452102661,-12.6998414993286,12.7379131317139,-11.2751111984253,522.956665039062,58.0615386962891,366.3125,10.8270702362061,50000
8405305.66550656,3327836.79450115,11.2837038040161,27.7202491760254,-5.74672079086304,25.4277439117432,-3.65677928924561,97.096435546875,27.6172904968262,82.9218368530273,21,50000
7803081.8139934,4431913.8556086,-1.38518261909485,20.7316246032715,-23.7093143463135,18.2125549316406,-21.6312427520752,236.971725463867,41.8726119995117,197.992538452148,10,50000
8104193.73974998,3595491.83961811,6.82131004333496,25.4058208465576,-12.1955223083496,22.9956874847412,-10.3328638076782,88.412727355957,22.7886257171631,76.6213989257812,21,50000
8773331.35254237,3394750.55578039,12.6635046005249,28.0755424499512,-3.44441795349121,25.9286842346191,-1.41491615772247,153.436950683594,42.1401977539062,106.098892211914,14,50000
3152575.40508628,1621535.88188055,11.5647869110107,19.7587604522705,6.63396549224854,18.6294631958008,6.83548831939697,534.647521972656,211.303817749023,117.199157714844,16.819091796875,50000
6899746.03672368,5602904.67799528,-13.4400281906128,15.5539827346802,-36.6756973266602,11.2803926467896,-34.8598747253418,405.98828125,48.9536819458008,149.304763793945,11,50000
8271478.14294808,4097345.0492124,4.54609394073486,24.8055610656738,-16.3428707122803,22.3649730682373,-14.3596534729004,132.948532104492,45.2446403503418,98.2432327270508,14,50000
5695298.33369737,3628948.72025773,-3.53580904006958,12.6888751983643,-22.0732593536377,12.1083164215088,-19.8923301696777,521.401977539062,59.1805839538574,361.912200927734,10,50000
8371848.78486694,2759069.82362762,11.827465057373,26.4339447021484,-3.12223196029663,24.3936901092529,-1.41424560546875,200.4228515625,50.945255279541,103.417594909668,15.587064743042,50000
6364435.94648976,5870559.72311224,-18.3290576934814,12.5860042572021,-40.7949600219727,7.95348119735718,-39.2589340209961,198.435684204102,19.7054958343506,130.579528808594,23,50000
6799375.39480482,5535990.91671604,-13.6418647766113,15.6783781051636,-37.1240005493164,11.2580451965332,-35.3335952758789,423.308563232422,51.747200012207,146.897735595703,11,50000
