"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","longitude","latitude","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Bisnik Cave","Bisnik Cave layer 8 fauna","Layer 8","Poland","cave",19.665,50.426389,"MP/ Micoquian",60000,74000,"geology, TL (thermoluminescence) dating","4",1293,1276,NA,106759,0.999929507,107000,2.43827199935913,12.6587944030762,-4.24368190765381,15.130202293396,-9.09108734130859,591.354675292969,248.072418212891,453.441772460938,8.97740268707275,3466,0.365230829800222
"Bojnice III Cave Moat","Bojnice III Cave Moat Cultural Layer VIII mammal fauna","Travertine 8","Slovakia","open air",18.577762,48.780333,"MP/ Middle Paleolithic - Eurasia",95000,115000,"mollusc biostratigraphy, large mammal biostratigraphy, macrobotanical remains","5d-5c",NA,NA,NA,105000,1,105000,2.78432202339172,13.2784957885742,-3.12370800971985,15.2974557876587,-8.17555618286133,805.413757324219,544.238586425781,434.576171875,8.34011840820312,1573,0.549701064839278
"Bollschweil","Bollschweil fauna","GE-1","Germany","open air",7.778593,47.932644,"MP/ Middle Paleolithic - Eurasia",81000,163000,"ESR (electron spin resonance) dating, geology","45082",299,NA,NA,105888,0.987557947,106000,5.50710916519165,12.8639354705811,0.906137228012085,15.3349580764771,-3.10987734794617,899.8076171875,633.851135253906,520.055908203125,7.93848037719727,774,0.635562706050185
"Bollschweil","Bollschweil fauna","GE-2","Germany","open air",7.778593,47.932644,"MP/ Middle Paleolithic - Eurasia",81000,163000,"ESR (electron spin resonance) dating, geology","45082",299,NA,NA,113255,0.975115995,113000,6.16105985641479,7.92263650894165,2.3279812335968,12.718976020813,-1.53909468650818,944.929443359375,681.977661132812,532.6650390625,7.54638719558716,812,0.638837304494513
"Bolomor Cave","Bolomor Cave, Level II, Micromammals","Nivel II","Spain","cave",-0.2498,39.0594,"MP/ Middle Paleolithic - Eurasia",103000,130000,"TL (thermoluminescence) dating, AAR (amino acid racemization) dating","5",NA,NA,NA,121000,0.999994294,121000,16.1571006774902,21.7823791503906,11.2303352355957,24.5824546813965,10.2226505279541,412.819274902344,240.517669677734,380.77783203125,-289371936,10849,0.130780285511628
"Burgtonna","Burgtonna L2, Micromammals","L2","Germany","open air",10.731923,51.073936,"MP/ Middle Paleolithic - Eurasia",116000,130000,"U series (uranium-thorium) dating, fauna, geology, macrobotanical remains","5e",11,11,NA,103089,1,103000,3.88004589080811,11.3470811843872,-0.345148116350174,14.2691555023193,-4.7193775177002,513.869140625,306.085510253906,362.930358886719,8,4240,0.365999794542513
"Caours","Caours N1 macrofauna","5","France","open air",1.8830556,50.131389,"MP/ Middle Paleolithic - Eurasia",109000,139000,"ESR (electron spin resonance) dating","5e",863,NA,NA,124000,0.999999798,124000,9.9939432144165,16.0105457305908,6.70556640625,17.8316211700439,3.65718078613281,719.535278320312,574.813720703125,487.08642578125,6,915,0.638139145500968
"Carihuela","Carihuela Unit VII human remains 01","Unit VII","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",63400,91000,"ESR (electron spin resonance) dating","",NA,NA,NA,70733,0.998912201,71000,9.721266746521,11.9062118530273,5.83995199203491,16.1183815002441,4.33675765991211,552.994079589844,184.717788696289,125.593116760254,15,2526,0.463461726244382
"Carihuela","Carihuela Unit VIII - XI human remains 02","Unit VIII","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",63400,64200,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","",NA,NA,NA,62932,1,63000,8.10439968109131,13.5489683151245,3.91099214553833,16.1086387634277,2.23878979682922,649.077880859375,119.08618927002,89.3462448120117,14,1127,0.550807791866712
"Carihuela","Carihuela Unit VIII - XI human remains 02","Unit X","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",64200,84250,"U series (uranium-thorium) dating","",NA,NA,NA,84250,1,84000,11.7048664093018,21.7731323242188,5.19181871414185,23.2841720581055,3.64976072311401,588.016479492188,101.24178314209,159.993408203125,17.7027549743652,2632,0.487092432335898
"Carihuela","Carihuela Unit VIII - XI human remains 02","Unit XI","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",82500,129880,"TL (thermoluminescence) dating, U series (uranium-thorium) dating","",NA,NA,NA,129736,1,130000,12.3308067321777,23.2787704467773,5.30698394775391,24.6221580505371,3.81537532806396,619.956115722656,96.4340057373047,172.748886108398,19.2279930114746,2584,0.50862403509533
"Champlost","Champlost occupation sector fauna","Unit 9","France","open air",3.681111,48.016795,"MP/ Middle Paleolithic - Eurasia",29000,71000,"ESR (electron spin resonance) dating, geology","45019",NA,NA,NA,54450,1,54000,6.78842353820801,12.8327579498291,1.85511136054993,15.4083032608032,-0.887889266014099,622.399780273438,488.873931884766,353.448791503906,11.4101591110229,1399,0.593258287185983
"Cova del Gegant","Cova del Gegant Episode 3a Human Remains","Episode 3a","Spain","cave",1.7743,41.2235,"MP/ Mousterian - Eurasia",47500,51100,"U series (uranium-thorium) dating","3",NA,NA,NA,50098,1,50000,11.1533308029175,14.968957901001,7.72007274627686,17.7878093719482,5.97568988800049,579.047180175781,414.713500976562,297.905395507812,-316077312,2110,0.532399983202221
